Probe	logFC	A	pvalue	adjpvalue
hsa-miR-181a	-0.712415145	6.280733882	0.010929789	0.021722097
hsa-let-7i	-0.78488383	8.805716466	0.005655136	0.013043963
hsa-miR-146a	-0.80955301	7.649743927	0.018170064	0.033783885
hsa-let-7g	-0.830477034	9.656558948	0.005501224	0.012876939
hsa-miR-34a	-0.862582755	6.897463721	0.011394776	0.022504682
hsa-miR-107	-0.909675038	7.183037897	0.002469889	0.006906948
hsa-miR-155	-0.913642541	10.19886114	0.018581003	0.034336825
hsa-miR-301a	-0.914077786	4.795256896	0.027508436	0.047242749
hsa-miR-29a	-0.929424391	8.894766478	0.002769811	0.007545347
hsa-miR-92a	-0.943990215	8.047093493	0.001951134	0.005762227
hsa-let-7e	-0.986712602	5.694378143	0.009099997	0.018672721
hsa-miR-625	-0.988992044	6.242995249	0.008393434	0.017565068
hsa-miR-24	-1.000077591	8.189061302	0.004365173	0.010692982
hsa-miR-1280	-1.011694586	5.124841284	0.008186108	0.017565068
hsa-miR-20b	-1.025748626	8.787662543	0.003931481	0.009859904
hsa-miR-93	-1.047001428	6.716200165	0.007926612	0.017274547
hsa-miR-106b	-1.059109715	7.478178502	0.001922032	0.00572983
hsa-miR-1238	-1.129647419	3.872796233	0.020667191	0.037107002
hsa-miR-425*	-1.199386278	3.181150204	0.025996833	0.044890706
hsa-miR-1470	-1.219773177	1.840474574	0.003314433	0.008655874
hsa-miR-17	-1.238952358	8.907615341	0.001251501	0.003994689
hsa-miR-363	-1.24738822	8.034729449	0.001072105	0.003566161
hsa-miR-140-5p	-1.268770544	6.540466042	0.008214976	0.017565068
hsa-miR-124	-1.271051622	5.690617965	0.02041571	0.037076806
hsa-miR-146b-5p	-1.272174975	7.750289381	0.008317832	0.017565068
hsa-let-7f	-1.306584879	9.775248688	0.000928088	0.003258622
hsa-miR-29c	-1.323794039	6.439980361	0.000474259	0.002052956
hsa-miR-15a	-1.331369403	8.092680912	0.000845967	0.00303779
hsa-let-7a	-1.332265524	9.460596117	0.000841685	0.00303779
hsa-miR-27a	-1.336633508	8.059097331	0.000976781	0.003355031
hsa-miR-26b	-1.359103438	7.624600039	0.0028815	0.007782511
hsa-miR-484	-1.364749922	2.102520298	0.00201879	0.00590683
hsa-let-7d	-1.384598544	7.750804156	0.001183281	0.003854812
hsa-miR-7-1*	-1.404072051	2.249667528	0.022418899	0.039577498
hsa-miR-590-5p	-1.410557824	4.994209688	0.012394748	0.024177409
hsa-miR-10a	-1.417704508	1.748326868	0.025318637	0.043959831
hsa-miR-103	-1.432576475	7.535963495	0.005124069	0.012266712
hsa-miR-30c	-1.439369213	5.81740024	0.000348006	0.001680995
hsa-miR-30b	-1.467462252	6.081463909	0.001276981	0.00403526
hsa-miR-574-3p	-1.503652013	1.525911581	0.000801226	0.002978674
hsa-miR-331-3p	-1.513210743	5.851141668	0.006640827	0.014744033
hsa-miR-181a*	-1.693200584	2.543666022	0.000351332	0.001680995
